ubicacionid,criticidadid,nodoid,nodo,tipoid,tipo,metricaid,minimo,maximo,umbral
42,2,8,rs485-ls-8,1,Sensor Maceta 10cm,2,35,42,U.N.8-SM10CM-Humd.
42,2,8,rs485-ls-8,3,Sensor Maceta 30cm,2,33,40,U.N.8-SM30CM-Humd.
26,2,33,rs485-ls-33,1,Sensor Maceta 10cm,2,35,42,U.N.33-SM10CM-Humd.
26,2,33,rs485-ls-33,3,Sensor Maceta 30cm,2,33,40,U.N.33-SM30CM-Humd.
66,2,48,rs485-ls-48,1,Sensor Maceta 10cm,2,35,42,U.N.48-SM10CM-Humd.
66,2,48,rs485-ls-48,3,Sensor Maceta 30cm,2,33,40,U.N.48-SM30CM-Humd.
34,2,61,rs485-ls-61,1,Sensor Maceta 10cm,2,35,42,U.N.61-SM10CM-Humd.
34,2,61,rs485-ls-61,3,Sensor Maceta 30cm,2,33,40,U.N.61-SM30CM-Humd.
37,2,64,rs485-ls-64,1,Sensor Maceta 10cm,2,35,42,U.N.64-SM10CM-Humd.
37,2,64,rs485-ls-64,3,Sensor Maceta 30cm,2,33,40,U.N.64-SM30CM-Humd.
72,2,80,rs485-ls-80,1,Sensor Maceta 10cm,2,35,42,U.N.80-SM10CM-Humd.
72,2,80,rs485-ls-80,3,Sensor Maceta 30cm,2,33,40,U.N.80-SM30CM-Humd.
163,2,192,rs485-ls-192,1,Sensor Maceta 10cm,2,35,42,U.N.192-SM10CM-Humd.
163,2,192,rs485-ls-192,3,Sensor Maceta 30cm,2,33,40,U.N.192-SM30CM-Humd.
146,2,26,rs485-ls-26,1,Sensor Maceta 10cm,2,35,42,U.N.26-SM10CM-Humd.
146,2,26,rs485-ls-26,3,Sensor Maceta 30cm,2,33,40,U.N.26-SM30CM-Humd.
148,2,75,rs485-ls-75,1,Sensor Maceta 10cm,2,35,42,U.N.75-SM10CM-Humd.
148,2,75,rs485-ls-75,3,Sensor Maceta 30cm,2,33,40,U.N.75-SM30CM-Humd.
161,2,190,rs485-ls-190,1,Sensor Maceta 10cm,2,35,42,U.N.190-SM10CM-Humd.
161,2,190,rs485-ls-190,3,Sensor Maceta 30cm,2,33,40,U.N.190-SM30CM-Humd.
149,2,76,rs485-ls-76,1,Sensor Maceta 10cm,2,35,42,U.N.76-SM10CM-Humd.
149,2,76,rs485-ls-76,3,Sensor Maceta 30cm,2,33,40,U.N.76-SM30CM-Humd.
144,2,59,rs485-ls-59,1,Sensor Maceta 10cm,2,35,42,U.N.59-SM10CM-Humd.
144,2,59,rs485-ls-59,3,Sensor Maceta 30cm,2,33,40,U.N.59-SM30CM-Humd.
145,2,25,rs485-ls-25,1,Sensor Maceta 10cm,2,35,42,U.N.25-SM10CM-Humd.
145,2,25,rs485-ls-25,3,Sensor Maceta 30cm,2,33,40,U.N.25-SM30CM-Humd.
141,2,56,rs485-ls-56,1,Sensor Maceta 10cm,2,30,38,U.N.56-SM10CM-Humd.
141,2,56,rs485-ls-56,3,Sensor Maceta 30cm,2,27,35,U.N.56-SM30CM-Humd.
147,2,28,rs485-ls-28,1,Sensor Maceta 10cm,2,30,38,U.N.28-SM10CM-Humd.
147,2,28,rs485-ls-28,3,Sensor Maceta 30cm,2,27,35,U.N.28-SM30CM-Humd.
152,2,79,rs485-ls-79,1,Sensor Maceta 10cm,2,30,38,U.N.79-SM10CM-Humd.
152,2,79,rs485-ls-79,3,Sensor Maceta 30cm,2,27,35,U.N.79-SM30CM-Humd.
164,2,193,rs485-ls-193,1,Sensor Maceta 10cm,2,30,38,U.N.193-SM10CM-Humd.
164,2,193,rs485-ls-193,3,Sensor Maceta 30cm,2,27,35,U.N.193-SM30CM-Humd.
142,2,57,rs485-ls-57,1,Sensor Maceta 10cm,2,30,38,U.N.57-SM10CM-Humd.
142,2,57,rs485-ls-57,3,Sensor Maceta 30cm,2,27,35,U.N.57-SM30CM-Humd.
151,2,78,rs485-ls-78,1,Sensor Maceta 10cm,2,30,38,U.N.78-SM10CM-Humd.
151,2,78,rs485-ls-78,3,Sensor Maceta 30cm,2,27,35,U.N.78-SM30CM-Humd.
150,2,77,rs485-ls-77,1,Sensor Maceta 10cm,2,30,38,U.N.77-SM10CM-Humd.
150,2,77,rs485-ls-77,3,Sensor Maceta 30cm,2,27,35,U.N.77-SM30CM-Humd.
